ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
CONL,di_cross_surge_btc2,60,-25,60,4.0,1,,False,15,13797925,53.3,23.02,1.0
NVDL,bo10_macd_btc2,100,-30,180,2.0,5,,True,9,13787382,66.7,23.86,2.89
CONL,bb_macd_adx_btc2,50,-25,45,4.0,1,,False,18,13782578,55.6,19.16,1.0
IREN,bo10_macd_btc2,100,-30,120,2.0,5,,False,8,13760236,62.5,29.7,2.5
NVDL,rsi7_80_btc2,100,-30,120,2.0,5,,False,8,13749701,37.5,16.21,2.62
IREN,consec4_btc1,80,-25,90,2.0,3,-15.0,False,11,13741814,63.6,26.9,1.82
IREN,consec3_btc2_vol,80,-25,120,2.0,5,,True,10,13741113,70.0,24.85,2.2
NVDL,bb_macd_adx_btc2,60,-25,60,3.0,3,,False,13,13735977,46.2,6.76,2.0
PTIR,btc_strong3d_surge,80,-25,90,3.0,3,,False,3,13704322,100.0,89.73,2.0
NVDL,mstr5_bo10_btc2,100,-30,120,2.0,5,,False,5,13697370,80.0,50.59,3.2
CONL,consec3_surge,80,-25,120,2.0,5,,True,18,13682397,27.8,8.87,2.17
IREN,all_green_ultra,50,-25,45,5.0,1,,False,7,13681171,85.7,39.13,1.0
IREN,rsi7_80_btc2,50,-20,45,3.0,3,,False,10,13679313,60.0,17.83,2.3
IREN,mstr_over5_ret3_btc,100,-30,120,2.0,5,,False,9,13634437,55.6,32.84,2.11
CONL,consec3_surge,100,-30,180,2.0,3,,True,17,13611251,23.5,12.17,1.76
CONL,mstr5_bo10_btc2,60,-25,60,2.0,5,,False,12,13588625,50.0,22.19,2.0
CONL,mstr_over5_ret3_btc,100,-30,180,2.0,3,,True,15,13588530,33.3,15.27,1.8
NVDL,max_conviction,100,-30,120,2.0,5,,False,4,13561778,100.0,63.14,3.75
PTIR,consec3_surge,100,-30,180,2.0,3,,True,16,13527121,62.5,16.92,1.56
CONL,mstr_rsi_ret3_btc2,100,-30,180,2.0,3,,True,12,13522710,41.7,22.09,1.42
IREN,all_green_ultra,60,-25,60,4.0,1,,False,7,13498878,85.7,48.26,1.0
IREN,mstr_rsi_ret3_btc2,60,-25,60,3.0,3,,False,11,13494762,54.5,24.29,1.55
IREN,bb_macd_adx_btc2,60,-25,60,3.0,1,-12.0,False,23,13489512,47.8,19.57,1.0
CONL,max_conviction,100,-30,180,2.0,5,,True,10,13405616,30.0,14.9,2.1
IREN,mstr5_bo10_btc2,50,-25,45,5.0,1,,False,10,13373262,80.0,26.77,1.0
IREN,rsi_accel_btc2_vol,80,-25,120,2.0,5,,True,11,13306833,63.6,21.86,2.73
NVDL,bo10_macd_btc2,50,-20,45,3.0,3,,False,10,13278152,70.0,17.96,2.0
CONL,bo5_vol_btc2_rsi,100,-30,180,2.0,3,,True,8,13278090,50.0,44.34,1.62
IREN,rsi7_80_btc2,30,-15,20,5.0,1,,False,16,13270275,75.0,16.6,1.0
PTIR,mstr_rsi_ret3_btc2,60,-25,60,4.0,1,,False,6,13265869,83.3,55.33,1.0
IREN,consec4_btc1,100,-30,180,2.0,5,,True,10,13241670,60.0,20.95,2.4
IREN,rsi_accel_btc2_vol,80,-25,90,2.0,3,-15.0,False,13,13240233,46.2,22.37,2.0
IREN,rsi7_80_btc2,60,-25,60,4.0,1,,False,8,13224436,75.0,41.37,1.0
IREN,consec4_btc1,50,-25,45,4.0,1,,False,10,13217125,70.0,33.08,1.0
IREN,bo10_macd_btc2,60,-25,60,2.0,5,,False,11,13188642,54.5,23.36,2.0
CONL,bo10_macd_btc2,60,-25,60,2.0,5,,False,12,13184406,50.0,22.1,2.08
NVDL,bb_macd_adx_btc2,100,-30,120,2.0,5,,False,10,13173821,50.0,10.4,2.6
CONL,bb_macd_adx_btc2,80,-25,120,3.0,1,,True,18,13158546,50.0,24.39,1.0
IREN,bb_macd_adx_btc2,80,-25,90,3.0,1,,False,12,13155757,58.3,36.58,1.0
IREN,bb_macd_adx_btc2,50,-20,45,3.0,1,,False,18,13090559,66.7,24.27,1.0
