ticker,strategy,pos_mode,target,stop,hold,n,pnl,wr,avg
PTIR,month_q4_bull,fixed,15,-15,20,13,1708024,76.9,13.15
PTIR,low_vol_breakout,fixed,15,-15,20,19,1701893,73.7,8.97
CONL,mon_tue_bull,fixed,20,-20,30,29,1690435,62.1,5.83
PTIR,month_q4_bull,fixed,15,-20,30,11,1690009,90.9,15.38
CONL,month_q4_bull,fixed,15,-15,20,28,1686406,57.1,6.03
CONL,triple_ma_bull,fixed,25,-15,20,26,1683063,50.0,6.48
IREN,dual_btc_qqq_pct,fixed,25,-15,20,12,1679907,75.0,14.01
IREN,dual_btc_qqq,fixed,25,-15,20,12,1679907,75.0,14.01
IREN,dual_btc_qqq_strong,fixed,15,-20,30,9,1679149,100.0,18.68
PTIR,low_vol_bull,fixed,30,-20,45,11,1675611,63.6,15.25
ROBN,month_q2q3_bull,fixed,30,-20,45,8,1673896,75.0,20.94
NVDL,btc_ret5_pos_regime1,fixed,15,-20,30,27,1673429,70.4,6.2
CONL,triple_ma_strong_btc,fixed,20,-15,20,19,1663792,57.9,8.77
NVDL,triple_ma_bull,fixed,30,-20,45,14,1660044,57.1,11.87
PTIR,mon_tue_bull,fixed,25,-20,30,15,1658969,60.0,11.07
AMDL,dual_btc_qqq_strong,fixed,15,-20,30,9,1654578,88.9,18.4
NVDL,triple_ma_strong_btc,fixed,20,-20,30,15,1654195,80.0,11.04
CONL,triple_ma_bull,fixed,20,-15,20,24,1654016,54.2,6.9
NVDL,triple_ma_strong_btc,fixed,15,-15,20,23,1648396,69.6,7.17
NVDL,btc_regime2_rsi,fixed,30,-20,45,20,1639071,55.0,8.2
AMDL,dual_btc_qqq_strong,fixed,25,-20,30,8,1634526,75.0,20.45
NVDL,btc_momentum_entry,fixed,15,-15,20,31,1633732,61.3,5.28
IREN,variable_size_regime,fixed,20,-15,20,36,1631165,52.8,4.54
CONL,triple_ma_bull,fixed,30,-20,45,20,1625420,50.0,8.14
NVDL,btc_regime2_only,fixed,30,-20,45,21,1622143,57.1,7.73
NVDL,btc_momentum_entry,fixed,30,-20,45,18,1616442,66.7,8.99
NVDL,btc_ret20_strong,fixed,25,-20,30,9,1616377,88.9,17.98
NVDL,triple_ma_strong_btc,fixed,30,-20,45,12,1614682,58.3,13.47
IREN,triple_ma_strong_btc,fixed,15,-20,30,18,1606122,72.2,8.93
AMDL,dual_btc_qqq_strong,fixed,20,-20,30,9,1603363,77.8,17.83
ROBN,dual_btc_qqq,fixed,25,-20,30,11,1603339,72.7,14.59
IREN,dual_btc_qqq_pct,fixed,20,-15,20,13,1602864,76.9,12.34
IREN,dual_btc_qqq,fixed,20,-15,20,13,1602864,76.9,12.34
PTIR,triple_ma_bull,fixed,15,-20,30,17,1594613,76.5,9.39
IREN,triple_ma_bull,fixed,15,-15,20,25,1592825,60.0,6.38
IREN,triple_ma_qqq,fixed,20,-20,30,13,1591739,76.9,12.26
CONL,btc_ret20_strong,fixed,15,-15,20,21,1590600,66.7,7.58
ROBN,month_q2q3_bull,fixed,15,-20,30,10,1589639,90.0,15.91
ROBN,month_q2q3_bull,fixed,15,-15,20,10,1588146,80.0,15.9
PTIR,btc_momentum_entry,fixed,15,-15,20,20,1588050,65.0,7.95
IREN,triple_ma_qqq,fixed,25,-15,20,14,1587378,64.3,11.35
NVDL,btc_regime2_only,fixed,15,-15,20,33,1586791,60.6,4.81
CONL,mon_tue_bull,fixed,25,-20,30,25,1585882,56.0,6.35
IREN,btc_momentum_entry,fixed,20,-20,30,27,1583929,63.0,5.87
PTIR,btc_momentum_entry,fixed,25,-15,20,15,1577658,53.3,10.53
AMDL,dual_btc_qqq_pct,fixed,25,-15,20,11,1575826,63.6,14.34
AMDL,dual_btc_qqq,fixed,25,-20,30,9,1563084,66.7,17.38
AMDL,dual_btc_qqq_pct,fixed,25,-20,30,9,1563084,66.7,17.38
IREN,month_q2q3_bull,fixed,30,-20,45,11,1560036,63.6,14.2
NVDL,triple_ma_strong_btc,fixed,25,-20,30,15,1555063,73.3,10.38
ROBN,variable_size_regime_var,variable,20,-15,20,12,1548698,58.3,7.58
